Skill #,Level-Up Band,Activity Title,Step #,Instruction
13,Foundational → Intermediate,Signal vs. Noise Filter,2,"For each one, evaluate:
• Is this hype or substance? (Does it make claims that are backed by evidence or experience?)
• What actually changed? (Is there a genuine new development or is it repackaging old news?)
• Does it affect my work? (Rate: High / Medium / Low relevance)"
13,Foundational → Intermediate,Signal vs. Noise Filter,3,Write a 1-sentence verdict for each item.
13,Foundational → Intermediate,Signal vs. Noise Filter,4,"Compile into a simple table: Source, Headline, Hype/Substance, Relevance, Takeaway."
13,Foundational → Intermediate,Signal vs. Noise Filter,5,Reflection: Did this exercise change how you'll read AI news in the future?
13,Intermediate → Advanced,Curate a Team Brief,1,"Decide on a format for a team AI update: a short email, a Slack post, a 1-page brief, or a shared doc. Pick what your team would actually read."
13,Intermediate → Advanced,Curate a Team Brief,2,"Curate 3–5 items from the past month. For each: write a plain-language summary (2–3 sentences), tag it by category (Tool Update / Research / Policy / Practice), and rate its relevance to your team."
13,Intermediate → Advanced,Curate a Team Brief,3,Include one 'Try This' action item — one concrete thing a team member could do this month based on what you curated.
13,Intermediate → Advanced,Curate a Team Brief,4,Write a brief intro paragraph that contextualizes the items (what's the theme this month?).
13,Intermediate → Advanced,Curate a Team Brief,5,Format it cleanly and share it (or save it as your first issue).
13,Intermediate → Advanced,Curate a Team Brief,6,Create a template so you can produce the next issue in half the time.
13,New → Foundational,Build Your Starter Kit,1,"Open a browser and find 3 sources you could follow for AI-in-education news. You need one from each category:
• Institutional: ASU's AI hub (lx.asu.edu/ai) or the Provost's AI page.
• Practitioner/researcher: A person who writes or posts about AI in higher ed (e.g., a blog, a newsletter, a LinkedIn feed).
• Tool-focused: A site that tracks AI tool updates or comparisons."
13,New → Foundational,Build Your Starter Kit,2,Bookmark all three.
13,New → Foundational,Build Your Starter Kit,3,"Read one item from each source right now (an article, a post, an update)."
13,New → Foundational,Build Your Starter Kit,4,"For each, write one sentence: What is this source good for? And one sentence: What was my takeaway from what I read today?"
14,Foundational → Intermediate,Teach Me a Feature,1,"Pick an AI feature you haven't tried yet. Examples: uploading a document for analysis, using custom instructions/system prompts, creating a custom GPT or Claude Project, using image generation."
14,Foundational → Intermediate,Teach Me a Feature,2,"Ask the AI: 'I want to learn how to [feature]. Walk me through it step by step, assuming I've never done it before.'"
14,Foundational → Intermediate,Teach Me a Feature,3,"Follow the steps exactly as given. Note any step that's unclear, wrong, or missing."
14,Foundational → Intermediate,Teach Me a Feature,4,"When you succeed (or fail), tell the AI what happened and ask it to troubleshoot or clarify."
14,Foundational → Intermediate,Teach Me a Feature,5,"Verify the AI's instructions against official documentation (help pages, user guides). Note any discrepancies."
14,Foundational → Intermediate,Teach Me a Feature,6,"Write up your tested walkthrough: the AI's steps, your corrections, and the working result."
14,Intermediate → Advanced,Meta-Learning Protocol,1,"Write down your 5-step meta-learning protocol:
1. Ask AI to explain the capability.
2. Ask AI to show you an example.
3. Try it yourself on a low-stakes task.
4. Ask AI to evaluate your attempt.
5. Cross-check against official documentation or community resources."
14,Intermediate → Advanced,Meta-Learning Protocol,2,"Pick something genuinely unfamiliar to you (a new tool, a new technique, an advanced feature)."
14,Intermediate → Advanced,Meta-Learning Protocol,3,Run steps 1–2: Get the explanation and example. Note: Is the explanation clear? Is the example realistic?
14,Intermediate → Advanced,Meta-Learning Protocol,4,Run step 3: Try it yourself. Don't aim for perfection — aim for learning.
14,Intermediate → Advanced,Meta-Learning Protocol,5,Run step 4: Show the AI your result and ask it to evaluate. How useful is its feedback? Does it catch real issues or just give generic praise?
14,Intermediate → Advanced,Meta-Learning Protocol,6,"Run step 5: Find an external source (documentation, a forum, a tutorial). Does it confirm what the AI told you? What did the external source add?"
14,Intermediate → Advanced,Meta-Learning Protocol,7,"Write up the protocol as a reusable document, annotated with your experience: where the protocol worked, where it fell short, and how you'd adapt it for a colleague."
14,New → Foundational,Ask AI About AI,1,Open any AI tool you have access to.
14,New → Foundational,Ask AI About AI,2,Type: 'I'm brand new to using AI tools. What are the 3 most important things I should understand before I start using you for my work as an educator?'
14,New → Foundational,Ask AI About AI,3,"Read the response carefully. Does it match what you've heard from colleagues, training, or articles? Anything surprising?"
14,New → Foundational,Ask AI About AI,4,Ask one follow-up question based on something it said that you want to understand better.
14,New → Foundational,Ask AI About AI,5,Write a short note: What was helpful? What would you want to verify with a human or another source?
