Bloom Phase,Phase Name,Bloom Level,Seq,Maynard Skill(s),Primary Skill Name,Item,Learning Level,Modality,Source,Direct Link,Purpose for the Learner,Specific Location,Original Phase,Status
6,Design AI Experiences,Apply → Create (Builder Track),17,12,"Balance curiosity, care, clarity",Accessibility Guide,Intermediate,Tool,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/accessibility-guide,Practical guidance for accessible AI tools.,Toolkit → Implementation → Accessibility Guide,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),18,12,"Balance curiosity, care, clarity",End-User & Usability Testing,Intermediate,Tool,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/usability-testing,Methods for testing usability with intended users.,Toolkit → Implementation → End-User & Usability Testing,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),19,12,"Balance curiosity, care, clarity",AI-X Guide (4-level reflection),Advanced,Self-assessment,AI-X Framework,https://aix-framework.lei-tech.org/guide,4-level self-evaluation across 8 themes.,AI-X Guide (4-level reflection tool),8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),20,12,"Balance curiosity, care, clarity",Investigation: Getting Started,Foundational,Reading,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/investigation-getting-started,Orientation for analyzing data about your tool.,Toolkit → Investigation stage → Getting Started,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),21,12,"Balance curiosity, care, clarity",Data Collection Methods Overview,Intermediate,Tool,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/data-collection,Comparison of methods for collecting effectiveness data.,Toolkit → Investigation → Data Collection Methods,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),22,12,"Balance curiosity, care, clarity",Survey,Intermediate,Tool,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/survey,Design surveys for user feedback at scale.,Toolkit → Investigation → Survey,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),23,12,"Balance curiosity, care, clarity",Focus Groups & Interviews,Intermediate,Tool,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/focus-groups,Qualitative methods for deeper user insight.,Toolkit → Investigation → Focus Groups & Interviews,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),24,12,"Balance curiosity, care, clarity",A/B Testing,Advanced,Tool,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/ab-testing,Compare tool variants with controlled experiments.,Toolkit → Investigation → A/B Testing,8. Design AI experiences,Existing
7,Build & Automate,Create,1,6,Build & deploy AI agents,AI progression: prompts → agents,Foundational,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=8,Conceptual progression: Prompting → Structured → Tool Use → Agents.,PDF page 8,9. Scale with agents,Existing
7,Build & Automate,Create,2,6,Build & deploy AI agents,Priority Matrix: feasibility x impact,Intermediate,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=9,Score automation candidates on feasibility x impact.,PDF page 9,9. Scale with agents,Existing
7,Build & Automate,Create,3,6,Build & deploy AI agents,What makes an agent different,Advanced,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=8,"Defining characteristics: goal orientation, planning loop, tools, memory.",PDF page 8,9. Scale with agents,Existing
7,Build & Automate,Create,4,6,Build & deploy AI agents,When to use an agent vs a prompt,Advanced,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=8,Decision rule for picking an agent over a single prompt.,PDF page 8,9. Scale with agents,Existing
7,Build & Automate,Create,5,6,Build & deploy AI agents,Agent risks & controls,Advanced,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=9,"Risks (looping, hallucinated tool calls, cost) and controls to apply.",PDF page 9,9. Scale with agents,Existing
7,Build & Automate,Create,6,6,Build & deploy AI agents,Automation Journey (5 steps),Advanced,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=9,Five-step methodology for automating a workflow.,PDF page 9,9. Scale with agents,Existing
7,Build & Automate,Create,7,6,Build & deploy AI agents,PACE Plan: Primary-Alternate-Contingency-Emergency,Advanced,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=10,Four-tier resilience plan with hand-off triggers.,PDF page 10,9. Scale with agents,Existing
7,Build & Automate,Create,8,"6, 12",Build & deploy AI agents,Building Custom Bots and AI Agents,Advanced,Page,LX ASU AI,https://lx.asu.edu/ai/ai-enhanced-learning,How to build custom bots and AI agents for teaching.,"AI-enhanced learning page, 'Building Custom Bots and AI Agents' section",8. Design AI experiences,Existing
7,Build & Automate,Create,9,14,Use AI to learn AI,Learn Prompting — Your Guide to Communicating with AI,Foundational,Self-paced course,External (Open Source),https://learnprompting.org,Comprehensive free guide to prompt engineering and self-directed AI learning.,Homepage → Start Here section; chapters progress from basics through advanced,NEW,New (Gap — Skill 14)
7,Build & Automate,Create,10,14,Use AI to learn AI,Google AI Essentials,Foundational,Self-paced course,External (Google),https://grow.google/ai-essentials/,"Self-paced program: AI fundamentals, practical application, responsible use.",Landing page → Enroll button; 5 modules under 5 hours total,NEW,New (Gap — Skill 14)
7,Build & Automate,Create,11,14,Use AI to learn AI,Prompt Engineering Guide (DAIR.AI),Intermediate,Reference guide,External (Open Source),https://www.promptingguide.ai/,Research-backed prompting guide with hands-on notebooks.,Homepage → Introduction; sidebar navigation by technique level,NEW,New (Gap — Skill 14)
7,Build & Automate,Create,12,14,Use AI to learn AI,Anthropic Interactive Prompt Engineering Tutorial,Intermediate,Interactive tutorial,External (Anthropic),https://github.com/anthropics/prompt-eng-interactive-tutorial,9-chapter interactive tutorial with exercises and playground.,README.md → Setup instructions; chapters in numbered folders 01-09,NEW,New (Gap — Skill 14)
7,Build & Automate,Create,13,14,Use AI to learn AI,ChatGPT Prompt Engineering for Developers (DeepLearning.AI),Advanced,Short course,External (DeepLearning.AI),https://www.deeplearning.ai/short-courses/chatgpt-prompt-engineering-for-developers/,"Practical course: summarizing, inferring, transforming text, building apps.",Course landing page → Enroll Free button; 9 video lessons with Jupyter notebooks,NEW,New (Gap — Skill 14)
8,Reference & Community,Ongoing,1,13,Stay current with reliable resources,Quick Reference Cheat Sheet,Foundational,Reference,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=10,One-page lookup matching technique → when to use → trigger phrase.,PDF page 10,10. Reference & support,Existing
8,Reference & Community,Ongoing,2,13,Stay current with reliable resources,Course Glossary of key terms,Foundational,Reference,Canvas,https://canvas.asu.edu/courses/157584/pages/look-up-key-terms-in-the-course-glossary-2,Vocabulary lookup throughout the course.,Canvas page: look-up-key-terms-in-the-course-glossary-2,10. Reference & support,Existing
8,Reference & Community,Ongoing,3,13,Stay current with reliable resources,Support & Community,Foundational,Hub page,LX ASU AI,https://lx.asu.edu/ai/community,Where to get help and connect with peers using AI at ASU.,Support & community page,10. Reference & support,Existing
